#type,time,ch,ticks,l,fL,v,fV,f,fF,o,scale,en,fEn,vDiff,vCnt,oDiff,envlp,envlpIndex,nE,nF,offset,data,wtblIndex,f1Ctrl,f2Ctrl,vCtrl,enCtrl
f1Ctrl,0.0,0,0,,,,,,,,,0,,,,,,,,,0,0,0,168,0,0,0
vCtrl,0.0005668934240362815,0,0,,,,,,,,,0,,,,,,,,,0,0,0,168,0,10,0
enBit,0.0008616780045351481,0,0,,,,,,,,,1,,,,,,,,,0,0,0,168,0,10,31
enBit,0.000929705215419502,0,0,,,,,,,,,0,,,,,,,,,0,0,0,168,0,10,0
wtbNew,0.000929705215419502,0,0,,,,,,,,,0,,,,,,,,,0,0,0,168,0,10,0
wtbLast,0.0009523809523809532,0,0,,,,,,,,,0,,,,,,,,,1,25,0,168,0,10,0
wtbLast,0.0009750566893424045,0,0,,,,,,,,,0,,,,,,,,,2,49,0,168,0,10,0
wtbLast,0.0009750566893424045,0,0,,,,,,,,,0,,,,,,,,,3,71,0,168,0,10,0
wtbLast,0.0009977324263038558,0,0,,,,,,,,,0,,,,,,,,,4,90,0,168,0,10,0
wtbLast,0.0009977324263038558,0,0,,,,,,,,,0,,,,,,,,,5,106,0,168,0,10,0
wtbLast,0.001020408163265307,0,0,,,,,,,,,0,,,,,,,,,6,117,0,168,0,10,0
wtbLast,0.001020408163265307,0,0,,,,,,,,,0,,,,,,,,,7,125,0,168,0,10,0
wtbLast,0.0010430839002267584,0,0,,,,,,,,,0,,,,,,,,,8,127,0,168,0,10,0
wtbLast,0.0010430839002267584,0,0,,,,,,,,,0,,,,,,,,,9,125,0,168,0,10,0
wtbLast,0.0010657596371882096,0,0,,,,,,,,,0,,,,,,,,,10,117,0,168,0,10,0
wtbLast,0.0010657596371882096,0,0,,,,,,,,,0,,,,,,,,,11,106,0,168,0,10,0
wtbLast,0.001088435374149661,0,0,,,,,,,,,0,,,,,,,,,12,90,0,168,0,10,0
wtbLast,0.001088435374149661,0,0,,,,,,,,,0,,,,,,,,,13,71,0,168,0,10,0
wtbLast,0.0011111111111111122,0,0,,,,,,,,,0,,,,,,,,,14,49,0,168,0,10,0
wtbLast,0.0011337868480725635,0,0,,,,,,,,,0,,,,,,,,,15,25,0,168,0,10,0
wtbLast,0.0011337868480725635,0,0,,,,,,,,,0,,,,,,,,,16,0,0,168,0,10,0
wtbLast,0.0011564625850340148,0,0,,,,,,,,,0,,,,,,,,,17,231,0,168,0,10,0
wtbLast,0.0011564625850340148,0,0,,,,,,,,,0,,,,,,,,,18,207,0,168,0,10,0
wtbLast,0.001179138321995466,0,0,,,,,,,,,0,,,,,,,,,19,185,0,168,0,10,0
wtbLast,0.001179138321995466,0,0,,,,,,,,,0,,,,,,,,,20,166,0,168,0,10,0
wtbLast,0.0012018140589569173,0,0,,,,,,,,,0,,,,,,,,,21,150,0,168,0,10,0
wtbLast,0.0012018140589569173,0,0,,,,,,,,,0,,,,,,,,,22,139,0,168,0,10,0
wtbLast,0.0012244897959183686,0,0,,,,,,,,,0,,,,,,,,,23,131,0,168,0,10,0
wtbLast,0.0012244897959183686,0,0,,,,,,,,,0,,,,,,,,,24,128,0,168,0,10,0
wtbLast,0.0012471655328798199,0,0,,,,,,,,,0,,,,,,,,,25,131,0,168,0,10,0
wtbLast,0.0012698412698412711,0,0,,,,,,,,,0,,,,,,,,,26,139,0,168,0,10,0
wtbLast,0.0012698412698412711,0,0,,,,,,,,,0,,,,,,,,,27,150,0,168,0,10,0
wtbLast,0.0012925170068027224,0,0,,,,,,,,,0,,,,,,,,,28,166,0,168,0,10,0
wtbLast,0.0012925170068027224,0,0,,,,,,,,,0,,,,,,,,,29,185,0,168,0,10,0
wtbLast,0.0013151927437641737,0,0,,,,,,,,,0,,,,,,,,,30,207,0,168,0,10,0
wtbLast,0.0013151927437641737,0,0,,,,,,,,,0,,,,,,,,,31,231,0,168,0,10,0
enBit,0.001337868480725625,0,0,,,,,,,,,1,,,,,,,,,31,231,0,168,0,10,31
enBit,0.0013832199546485275,0,0,,,,,,,,,0,,,,,,,,,31,231,0,168,0,10,0
enBit,0.0017913832199546505,0,0,,,,,,,,,1,,,,,,,,,31,231,0,168,0,10,31
enBit,0.0018594104308390044,0,0,,,,,,,,,0,,,,,,,,,31,231,0,168,0,10,0
enBit,0.002244897959183676,0,0,,,,,,,,,1,,,,,,,,,31,231,0,168,0,10,31
enBit,0.0022902494331065787,0,0,,,,,,,,,0,,,,,,,,,31,231,0,168,0,10,0
enBit,0.0026984126984127017,0,0,,,,,,,,,1,,,,,,,,,31,231,0,168,0,10,31
f1Ctrl,0.06351473922902494,0,4,,,,,,,,,1,,,,,,,,,31,231,0,178,0,10,31
f1Ctrl,0.13024943310657597,0,8,,,,,,,,,1,,,,,,,,,31,231,0,188,0,10,31
f1Ctrl,0.19687074829931972,0,12,,,,,,,,,1,,,,,,,,,31,231,0,200,0,10,31
f1Ctrl,0.26376417233560084,0,16,,,,,,,,,1,,,,,,,,,31,231,0,212,0,10,31
f1Ctrl,0.33056689342403617,0,20,,,,,,,,,1,,,,,,,,,31,231,0,224,0,10,31
f1Ctrl,0.3972562358276643,0,24,,,,,,,,,1,,,,,,,,,31,231,0,236,0,10,31
f1Ctrl,0.4640136054421767,0,28,,,,,,,,,1,,,,,,,,,31,231,0,252,0,10,31
f1Ctrl,0.5307709750566892,0,32,,,,,,,,,1,,,,,,,,,31,231,0,8,0,10,31
f2Ctrl,0.5308163265306122,0,32,,,,,,,,,1,,,,,,,,,31,231,0,8,1,10,31
