#type,time,ch,ticks,l,fL,v,fV,f,fF,o,scale,en,fEn,vDiff,vCnt,oDiff,envlp,envlpIndex,nE,nF,offset,data,wtbIndex,fCtrlA,fCtrlB,wNCtrl,vVCtrl,aVCtrl,envPCtrlL,envPCtrlM,envShape,ioParallel1,ioParallel2
fCA,0.0,0,0,,,,,,,,,0,,,,,,,,,,,,0,0,0,187,0,11,0,0,0,0
fCB,0.0,0,0,,,,,,,,,0,,,,,,,,,,,,0,0,0,187,0,11,0,0,0,0
aVC,4.5351473922902495e-05,0,0,,,,,,,,,0,,,,,,,,,,,,0,0,0,187,0,11,0,0,0,0
fCA,1.8140816326530655,0,109,,,,,,,,,0,,,,,,,,,,,,176,0,0,185,0,11,0,0,0,0
fCB,1.8141269841269885,0,109,,,,,,,,,0,,,,,,,,,,,,176,3,0,185,0,11,0,0,0,0
aVC,1.8141723356009114,0,109,,,,,,,,,0,,,,,,,,,,,,176,3,0,185,8,11,0,0,0,0
mode,1.8141723356009114,0,109,,,,,,,,,1,,,,,,,,,,,,176,3,0,184,8,11,0,0,0,0
fCA,1.8466213151927482,0,111,,,,,,,,,1,,,,,,,,,,,,128,3,0,184,8,11,0,0,0,0
fCA,1.8799546485260816,0,113,,,,,,,,,1,,,,,,,,,,,,80,3,0,184,8,11,0,0,0,0
fCA,1.9133106575963763,0,115,,,,,,,,,1,,,,,,,,,,,,32,3,0,184,8,11,0,0,0,0
fCA,1.946462585034018,0,117,,,,,,,,,1,,,,,,,,,,,,240,3,0,184,8,11,0,0,0,0
fCB,1.946507936507941,0,117,,,,,,,,,1,,,,,,,,,,,,240,2,0,184,8,11,0,0,0,0
fCA,1.9800226757369659,0,119,,,,,,,,,1,,,,,,,,,,,,176,2,0,184,8,11,0,0,0,0
fCB,1.9800453514739274,0,119,,,,,,,,,1,,,,,,,,,,,,176,3,0,184,8,11,0,0,0,0
fCA,2.0132653061224532,0,121,,,,,,,,,1,,,,,,,,,,,,128,3,0,184,8,11,0,0,0,0
fCA,2.0465986394557873,0,123,,,,,,,,,1,,,,,,,,,,,,80,3,0,184,8,11,0,0,0,0
fCA,2.0799546485260834,0,125,,,,,,,,,1,,,,,,,,,,,,32,3,0,184,8,11,0,0,0,0
fCA,2.113356009070302,0,127,,,,,,,,,1,,,,,,,,,,,,240,3,0,184,8,11,0,0,0,0
fCB,2.1133786848072633,0,127,,,,,,,,,1,,,,,,,,,,,,240,2,0,184,8,11,0,0,0,0
fCA,2.146643990929713,0,129,,,,,,,,,1,,,,,,,,,,,,128,2,0,184,8,11,0,0,0,0
fCB,2.1466666666666745,0,129,,,,,,,,,1,,,,,,,,,,,,128,3,0,184,8,11,0,0,0,0
fCA,2.179954648526086,0,131,,,,,,,,,1,,,,,,,,,,,,80,3,0,184,8,11,0,0,0,0
fCA,2.21328798185942,0,133,,,,,,,,,1,,,,,,,,,,,,32,3,0,184,8,11,0,0,0,0
fCA,2.2466666666666772,0,135,,,,,,,,,1,,,,,,,,,,,,240,3,0,184,8,11,0,0,0,0
fCB,2.2466893424036387,0,135,,,,,,,,,1,,,,,,,,,,,,240,2,0,184,8,11,0,0,0,0
fCA,2.2800680272108957,0,137,,,,,,,,,1,,,,,,,,,,,,200,2,0,184,8,11,0,0,0,0
fCA,2.3134920634920757,0,139,,,,,,,,,1,,,,,,,,,,,,128,2,0,184,8,11,0,0,0,0
fCB,2.3135374149659986,0,139,,,,,,,,,1,,,,,,,,,,,,128,3,0,184,8,11,0,0,0,0
fCA,2.346734693877564,0,141,,,,,,,,,1,,,,,,,,,,,,80,3,0,184,8,11,0,0,0,0
fCA,2.38009070294786,0,143,,,,,,,,,1,,,,,,,,,,,,32,3,0,184,8,11,0,0,0,0
fCA,2.4132879818594253,0,145,,,,,,,,,1,,,,,,,,,,,,240,3,0,184,8,11,0,0,0,0
fCB,2.413333333333348,0,145,,,,,,,,,1,,,,,,,,,,,,240,2,0,184,8,11,0,0,0,0
