#type,time,ch,ticks,l,fL,v,fV,f,fF,o,scale,en,fEn,vDiff,vCnt,oDiff,envlp,envlpIndex,nE,nF,offset,data,wtbIndex,fCtrlA,fCtrlB,wNCtrl,vVCtrl,aVCtrl,envPCtrlL,envPCtrlM,envShape,ioParallel1,ioParallel2
fCA,0.0,0,0,,,,,,,,,0,,,,,,,,,,,,0,0,0,187,0,11,0,0,0,0
fCB,0.0,0,0,,,,,,,,,0,,,,,,,,,,,,0,0,0,187,0,11,0,0,0,0
aVC,4.5351473922902495e-05,0,0,,,,,,,,,0,,,,,,,,,,,,0,0,0,187,0,11,0,0,0,0
fCA,1.8154195011337915,0,109,,,,,,,,,0,,,,,,,,,,,,176,0,0,185,0,11,0,0,0,0
fCB,1.8154648526077144,0,109,,,,,,,,,0,,,,,,,,,,,,176,3,0,185,0,11,0,0,0,0
aVC,1.8155102040816373,0,109,,,,,,,,,0,,,,,,,,,,,,176,3,0,185,8,11,0,0,0,0
mode,1.815941043083905,0,109,,,,,,,,,1,,,,,,,,,,,,176,3,0,184,8,11,0,0,0,0
fCA,1.8483900226757417,0,111,,,,,,,,,1,,,,,,,,,,,,128,3,0,184,8,11,0,0,0,0
fCA,1.8817233560090751,0,113,,,,,,,,,1,,,,,,,,,,,,80,3,0,184,8,11,0,0,0,0
fCA,1.9150793650793698,0,115,,,,,,,,,1,,,,,,,,,,,,32,3,0,184,8,11,0,0,0,0
fCA,1.9484126984127033,0,117,,,,,,,,,1,,,,,,,,,,,,240,3,0,184,8,11,0,0,0,0
fCB,1.9484580498866262,0,117,,,,,,,,,1,,,,,,,,,,,,240,2,0,184,8,11,0,0,0,0
fCA,1.9819727891156511,0,119,,,,,,,,,1,,,,,,,,,,,,176,2,0,184,8,11,0,0,0,0
fCB,1.9819954648526126,0,119,,,,,,,,,1,,,,,,,,,,,,176,3,0,184,8,11,0,0,0,0
fCA,2.0152154195011382,0,121,,,,,,,,,1,,,,,,,,,,,,128,3,0,184,8,11,0,0,0,0
fCA,2.0485487528344724,0,123,,,,,,,,,1,,,,,,,,,,,,80,3,0,184,8,11,0,0,0,0
fCA,2.0819047619047684,0,125,,,,,,,,,1,,,,,,,,,,,,32,3,0,184,8,11,0,0,0,0
fCA,2.115306122448987,0,127,,,,,,,,,1,,,,,,,,,,,,240,3,0,184,8,11,0,0,0,0
fCB,2.1153287981859483,0,127,,,,,,,,,1,,,,,,,,,,,,240,2,0,184,8,11,0,0,0,0
fCA,2.1487755102040897,0,129,,,,,,,,,1,,,,,,,,,,,,128,2,0,184,8,11,0,0,0,0
fCB,2.148798185941051,0,129,,,,,,,,,1,,,,,,,,,,,,128,3,0,184,8,11,0,0,0,0
fCA,2.182086167800463,0,131,,,,,,,,,1,,,,,,,,,,,,80,3,0,184,8,11,0,0,0,0
fCA,2.215419501133797,0,133,,,,,,,,,1,,,,,,,,,,,,32,3,0,184,8,11,0,0,0,0
fCA,2.248798185941054,0,135,,,,,,,,,1,,,,,,,,,,,,240,3,0,184,8,11,0,0,0,0
fCB,2.2488208616780154,0,135,,,,,,,,,1,,,,,,,,,,,,240,2,0,184,8,11,0,0,0,0
fCA,2.2821995464852725,0,137,,,,,,,,,1,,,,,,,,,,,,200,2,0,184,8,11,0,0,0,0
fCA,2.315804988662144,0,139,,,,,,,,,1,,,,,,,,,,,,128,2,0,184,8,11,0,0,0,0
fCB,2.315850340136067,0,139,,,,,,,,,1,,,,,,,,,,,,128,3,0,184,8,11,0,0,0,0
fCA,2.3490476190476324,0,141,,,,,,,,,1,,,,,,,,,,,,80,3,0,184,8,11,0,0,0,0
fCA,2.3824036281179284,0,143,,,,,,,,,1,,,,,,,,,,,,32,3,0,184,8,11,0,0,0,0
fCA,2.4157823129251854,0,145,,,,,,,,,1,,,,,,,,,,,,240,3,0,184,8,11,0,0,0,0
fCB,2.4158276643991083,0,145,,,,,,,,,1,,,,,,,,,,,,240,2,0,184,8,11,0,0,0,0
