#type,time,ch,ticks,l,fL,v,fV,f,fF,o,scale,en,fEn,vDiff,vCnt,oDiff,envlp,envlpIndex,nE,nF,offset,data,wtbIndex,fCtrlA,fCtrlB,wNCtrl,vVCtrl,aVCtrl,envPCtrlL,envPCtrlM,envShape,ioParallel1,ioParallel2,vDiff,oDiff,cnt
fCA,0.0,0,0,0,,0,,0,0,1,r,0,0,0,0,0,,,,,,,,0,0,0,187,0,11,0,0,0,0,0,0,1
fCB,0.0,0,0,0,,0,,0,0,1,r,0,0,0,0,0,,,,,,,,0,0,0,187,0,11,0,0,0,0,0,0,2
aVC,4.5351473922902495e-05,0,0,109,,0,,0,0,1,r,0,0,0,1,1,,,,,,,,0,0,0,187,0,11,0,0,0,0,109,1,1
fCB,1.8154648526077144,0,109,0,,0,,944,944,1,r,0,0,8,1,1,,,,,,,,176,3,0,185,0,11,0,0,0,0,-109,1,1
aVC,1.8155102040816373,0,109,0,,8,,944,944,1,r,0,0,0,2,1,,,,,,,,176,3,0,185,8,11,0,0,0,0,0,1,1
mode,1.815941043083905,0,109,2,,8,,944,944,2,a+,1,0,0,2,0,,,,,,,,176,3,0,184,8,11,0,0,0,0,2,0,1
fCA,1.8483900226757417,0,111,2,,8,,896,896,2,b,1,1,0,2,1,,,,,,,,128,3,0,184,8,11,0,0,0,0,0,1,2
fCA,1.8817233560090751,0,113,2,,8,,848,848,3,c,1,1,0,2,0,,,,,,,,80,3,0,184,8,11,0,0,0,0,0,0,3
fCA,1.9150793650793698,0,115,2,,8,,800,800,3,c+,1,1,0,2,0,,,,,,,,32,3,0,184,8,11,0,0,0,0,0,0,4
fCB,1.9484580498866262,0,117,2,,8,,752,752,3,d,1,1,0,2,-1,,,,,,,,240,2,0,184,8,11,0,0,0,0,0,-1,5
fCB,1.9819954648526126,0,119,2,,8,,944,944,2,a+,1,1,0,2,0,,,,,,,,176,3,0,184,8,11,0,0,0,0,0,0,6
fCA,2.0152154195011382,0,121,2,,8,,896,896,2,b,1,1,0,2,1,,,,,,,,128,3,0,184,8,11,0,0,0,0,0,1,7
fCA,2.0485487528344724,0,123,2,,8,,848,848,3,c,1,1,0,2,0,,,,,,,,80,3,0,184,8,11,0,0,0,0,0,0,8
fCA,2.0819047619047684,0,125,2,,8,,800,800,3,c+,1,1,0,2,0,,,,,,,,32,3,0,184,8,11,0,0,0,0,0,0,9
fCB,2.1153287981859483,0,127,2,,8,,752,752,3,d,1,1,0,2,-1,,,,,,,,240,2,0,184,8,11,0,0,0,0,0,-1,10
fCB,2.148798185941051,0,129,2,,8,,896,896,2,b,1,1,0,2,1,,,,,,,,128,3,0,184,8,11,0,0,0,0,0,1,11
fCA,2.182086167800463,0,131,2,,8,,848,848,3,c,1,1,0,2,0,,,,,,,,80,3,0,184,8,11,0,0,0,0,0,0,12
fCA,2.215419501133797,0,133,2,,8,,800,800,3,c+,1,1,0,2,0,,,,,,,,32,3,0,184,8,11,0,0,0,0,0,0,13
fCB,2.2488208616780154,0,135,2,,8,,752,752,3,d,1,1,0,2,0,,,,,,,,240,2,0,184,8,11,0,0,0,0,0,0,14
fCA,2.2821995464852725,0,137,2,,8,,712,712,3,d+,1,1,0,2,-1,,,,,,,,200,2,0,184,8,11,0,0,0,0,0,-1,15
fCB,2.315850340136067,0,139,2,,8,,896,896,2,b,1,1,0,2,1,,,,,,,,128,3,0,184,8,11,0,0,0,0,0,1,16
fCA,2.3490476190476324,0,141,2,,8,,848,848,3,c,1,1,0,2,0,,,,,,,,80,3,0,184,8,11,0,0,0,0,0,0,17
