#type,time,ch,ticks,l,fL,v,fV,f,fF,o,scale,en,fEn,vDiff,vCnt,oDiff,envlp,envlpIndex,nE,nF,offset,data,wtbIndex,fCtrlA,fCtrlB,wNCtrl,vVCtrl,aVCtrl,envPCtrlL,envPCtrlM,envShape,ioParallel1,ioParallel2
fCA,0.0,0,0,,,,,,,,,0,,,,,,,,,,,,0,0,0,187,0,11,0,0,0,0
fCB,0.0,0,0,,,,,,,,,0,,,,,,,,,,,,0,0,0,187,0,11,0,0,0,0
aVC,4.5351473922902495e-05,0,0,,,,,,,,,0,,,,,,,,,,,,0,0,0,187,0,11,0,0,0,0
fCA,9.070294784580498e-05,1,0,,,,,,,,,0,,,,,,,,,,,,208,0,0,187,0,11,0,0,0,0
fCB,0.00011337868480725623,1,0,,,,,,,,,0,,,,,,,,,,,,208,3,0,187,0,11,0,0,0,0
aVC,0.00015873015873015873,1,0,,,,,,,,,0,,,,,,,,,,,,208,3,0,187,18,11,0,0,0,0
fCA,0.00022675736961451246,2,0,,,,,,,,,1,,,,,,,,,,,,64,0,0,187,0,11,0,0,0,0
fCB,0.0002494331065759637,2,0,,,,,,,,,1,,,,,,,,,,,,64,5,0,187,0,11,0,0,0,0
aVC,0.0002947845804988662,2,0,,,,,,,,,1,,,,,,,,,,,,64,5,0,187,13,11,0,0,0,0
ePL,0.0003854875283446712,0,0,,,,,,,,,0,,,,,,,,,,,,0,0,0,187,0,0,0,0,0,0
ePL,0.0003854875283446712,1,0,,,,,,,,,0,,,,,,,,,,,,208,3,0,187,18,0,0,0,0,0
ePL,0.0003854875283446712,2,0,,,,,,,,,1,,,,,,,,,,,,64,5,0,187,13,0,0,0,0,0
evM,0.0004308390022675737,0,0,,,,,,,,,0,,,,,,,,,,,,0,0,0,187,0,0,3,0,0,0
evM,0.0004308390022675737,1,0,,,,,,,,,0,,,,,,,,,,,,208,3,0,187,18,0,3,0,0,0
evM,0.0004308390022675737,2,0,,,,,,,,,1,,,,,,,,,,,,64,5,0,187,13,0,3,0,0,0
evS,0.00047619047619047614,0,0,,,,,,,,,0,,,,,,,,,,,,0,0,0,187,0,0,3,9,0,0
evS,0.00047619047619047614,1,0,,,,,,,,,0,,,,,,,,,,,,208,3,0,187,18,0,3,9,0,0
evS,0.00047619047619047614,2,0,,,,,,,,,1,,,,,,,,,,,,64,5,0,187,13,0,3,9,0,0
mode,0.0006122448979591836,1,0,,,,,,,,,1,,,,,,,,,,,,208,3,0,185,18,0,3,9,0,0
fCA,0.012018140589569164,0,0,,,,,,,,,0,,,,,,,,,,,,0,0,0,185,0,0,3,9,0,0
fCB,0.012063492063492066,0,0,,,,,,,,,0,,,,,,,,,,,,0,0,0,185,0,0,3,9,0,0
aVC,0.012108843537414968,0,0,,,,,,,,,0,,,,,,,,,,,,0,0,0,185,0,0,3,9,0,0
fCA,0.01215419501133787,1,0,,,,,,,,,1,,,,,,,,,,,,0,3,0,185,18,0,3,9,0,0
fCB,0.012176870748299321,1,0,,,,,,,,,1,,,,,,,,,,,,0,6,0,185,18,0,3,9,0,0
fCA,0.012244897959183675,2,0,,,,,,,,,1,,,,,,,,,,,,64,5,0,185,13,0,3,9,0,0
fCB,0.012290249433106576,2,0,,,,,,,,,1,,,,,,,,,,,,64,5,0,185,13,0,3,9,0,0
aVC,0.012312925170068028,2,0,,,,,,,,,1,,,,,,,,,,,,64,5,0,185,12,0,3,9,0,0
fCB,0.028888888888888884,1,2,,,,,,,,,1,,,,,,,,,,,,0,7,0,185,18,0,3,9,0,0
aVC,0.02902494331065759,2,2,,,,,,,,,1,,,,,,,,,,,,64,5,0,185,11,0,3,9,0,0
fCB,0.04557823129251701,1,3,,,,,,,,,1,,,,,,,,,,,,0,8,0,185,18,0,3,9,0,0
aVC,0.045714285714285714,2,3,,,,,,,,,1,,,,,,,,,,,,64,5,0,185,10,0,3,9,0,0
aVC,0.061950113378684814,1,4,,,,,,,,,1,,,,,,,,,,,,0,8,0,185,18,0,3,9,0,0
