#type,time,ch,ticks,l,fL,v,fV,f,fF,o,scale,en,fEn,vDiff,vCnt,oDiff,envlp,envlpIndex,nE,nF,offset,data,wtbIndex,fCtrlA,fCtrlB,wNCtrl,vVCtrl,aVCtrl,envPCtrlL,envPCtrlM,envShape,ioParallel1,ioParallel2,vDiff,oDiff,cnt
fCA,0.0,0,0,0,,0,,0,0,1,r,0,0,0,0,0,,,,,,,,0,0,0,187,0,11,0,0,0,0,0,0,1
fCB,0.0,0,0,0,,0,,0,0,1,r,0,0,0,0,0,,,,,,,,0,0,0,187,0,11,0,0,0,0,0,0,2
aVC,4.5351473922902495e-05,0,0,321,,0,,0,0,1,r,0,0,0,1,3,,,,,,,,0,0,0,187,0,11,0,0,0,0,321,3,1
fCA,5.3368934240362815,0,321,0,,0,,252,252,1,r,0,0,8,1,3,,,,,,,,252,0,0,187,0,11,0,0,0,0,-321,3,1
aVC,5.3369614512471655,0,321,0,,8,,252,252,1,r,0,0,0,2,3,,,,,,,,252,0,0,187,8,11,0,0,0,0,0,3,1
mode,5.337414965986395,0,321,1,,8,,252,252,4,a,1,0,1,2,0,,,,,,,,252,0,0,184,8,11,0,0,0,0,1,0,1
aVC,5.350566893424036,0,322,1,,9,,252,252,4,a,1,1,1,3,0,,,,,,,,252,0,0,184,9,11,0,0,0,0,0,0,2
aVC,5.367324263038547,0,323,1,,10,,252,252,4,a,1,1,0,4,1,,,,,,,,252,0,0,184,10,11,0,0,0,0,0,1,1
fCA,5.385895691609975,0,324,0,,10,,212,212,5,c,1,1,-2,4,0,,,,,,,,212,0,0,184,10,11,0,0,0,0,-1,0,1
aVC,5.385986394557821,0,324,1,,8,,212,212,5,c,1,1,1,5,0,,,,,,,,212,0,0,184,8,11,0,0,0,0,1,0,1
aVC,5.400453514739225,0,325,1,,9,,212,212,5,c,1,1,1,6,0,,,,,,,,212,0,0,184,9,11,0,0,0,0,0,0,2
aVC,5.417188208616776,0,326,1,,10,,212,212,5,c,1,1,1,7,0,,,,,,,,212,0,0,184,10,11,0,0,0,0,0,0,3
aVC,5.433877551020403,0,327,1,,11,,212,212,5,c,1,1,1,8,0,,,,,,,,212,0,0,184,11,11,0,0,0,0,0,0,4
aVC,5.450476190476186,0,328,1,,12,,212,212,5,c,1,1,1,9,0,,,,,,,,212,0,0,184,12,11,0,0,0,0,0,0,5
aVC,5.4672108843537375,0,329,1,,13,,212,212,5,c,1,1,-1,10,0,,,,,,,,212,0,0,184,13,11,0,0,0,0,0,0,1
aVC,5.483900226757366,0,330,15,,12,,212,212,5,c,1,1,-1,11,0,,,,,,,,212,0,0,184,12,11,0,0,0,0,14,0,1
aVC,5.734217687074826,0,345,15,,11,,212,212,5,c,1,1,-1,12,0,,,,,,,,212,0,0,184,11,11,0,0,0,0,0,0,2
aVC,5.984557823129247,0,360,15,,10,,212,212,5,c,1,1,-1,13,0,,,,,,,,212,0,0,184,10,11,0,0,0,0,0,0,3
aVC,6.234875283446707,0,375,15,,9,,212,212,5,c,1,1,-1,14,0,,,,,,,,212,0,0,184,9,11,0,0,0,0,0,0,4
aVC,6.485192743764166,0,390,15,,8,,212,212,5,c,1,1,-1,15,0,,,,,,,,212,0,0,184,8,11,0,0,0,0,0,0,5
aVC,6.735510204081626,0,405,15,,7,,212,212,5,c,1,1,-1,16,0,,,,,,,,212,0,0,184,7,11,0,0,0,0,0,0,6
aVC,6.9858276643990855,0,420,15,,6,,212,212,5,c,1,1,-1,17,0,,,,,,,,212,0,0,184,6,11,0,0,0,0,0,0,7
