#type,time,ch,ticks,l,fL,v,fV,f,fF,o,scale,en,fEn,vDiff,vCnt,oDiff,envlp,envlpIndex,nE,nF,offset,data,wtbIndex,f1Ctrl,f2Ctrl,vCtrl,enCtrl
f1Ctrl,0.0,0,0,0,0,0,0,235,0,1,r,0,0,0,0,0,{},{},{},{},0,0,0,235,0,0,0
f2Ctrl,0.0004535147392290248,0,0,0,0,3,0,2027,235,4,a+,0,0,0,1,0,{},{},{},{},0,0,0,235,7,3,0
enBit,0.0006802721088435374,0,0,0,0,3,0,2027,2027,1,a,1,0,0,2,0,{},{},{},{},0,0,0,235,7,3,3
enBit,0.0007482993197278912,0,0,0,0,3,3,2027,2027,1,a,0,0,0,2,0,{},{},{},{},0,0,0,235,7,3,0
enBit,0.0011564625850340143,0,0,0,0,3,3,2027,2027,1,a,1,0,0,2,0,{},{},{},{},31,8,0,235,7,3,3
enBit,0.0012244897959183682,0,0,0,0,3,3,2027,2027,1,a,0,0,0,2,0,{},{},{},{},31,8,0,235,7,3,0
enBit,0.0016326530612244907,0,0,0,0,3,3,2027,2027,1,a,1,0,0,2,0,{},{},{},{},31,8,0,235,7,3,3
enBit,0.0016780045351473933,0,0,0,0,3,3,2027,2027,1,a,0,0,0,2,0,{},{},{},{},31,8,0,235,7,3,0
enBit,0.0020861678004535163,0,0,0,0,3,3,2027,2027,1,a,1,0,0,2,0,{},{},{},{},31,8,0,235,7,3,3
enBit,0.002131519274376419,0,0,0,0,3,3,2027,2027,1,a,0,0,0,2,0,{},{},{},{},31,8,0,235,7,3,0
enBit,0.002539682539682542,0,0,16,0,3,3,2027,2027,1,a,1,0,1,2,0,{},{},{},{},31,8,0,235,7,3,3
vCtrl,0.2621768707482994,0,16,16,{},4,{},2027,2027,1,a,1,0,1,3,0,{},{},{},{},31,8,0,235,7,4,3
vCtrl,0.5297052154195013,0,32,16,{},5,{},2027,2027,1,a,1,0,1,4,0,{},{},{},{},31,8,0,235,7,5,3
vCtrl,0.796621315192744,0,48,16,{},6,{},2027,2027,1,a,1,0,1,5,0,{},{},{},{},31,8,0,235,7,6,7
vCtrl,1.0650793650793657,0,64,16,{},7,{},2027,2027,1,a,1,0,1,6,0,{},{},{},{},31,8,0,235,7,7,7
vCtrl,1.330158730158731,0,80,16,{},8,{},2027,2027,1,a,1,0,1,7,0,{},{},{},{},31,8,0,235,7,8,31
vCtrl,1.5971655328798193,0,96,16,{},9,{},2027,2027,1,a,1,0,1,8,0,{},{},{},{},31,8,0,235,7,9,31
vCtrl,1.8649206349206355,0,112,513,{},10,{},2027,2027,1,a,1,0,-1,9,0,{},{},{},{},31,8,0,235,7,10,31
vCtrl,10.40879818594102,0,625,180,{},9,{},2027,2027,1,a,1,0,0,10,0,{},{},{},{},31,8,0,235,7,9,31
enBit,13.411655328798162,0,805,3,805,9,3,2027,2027,1,a,0,0,0,10,4,{},{},{},{},31,8,0,235,7,9,28
f2Ctrl,13.451247165532846,0,808,0,3,2,9,126,2027,1,a,0,0,0,10,0,{},{},{},{},31,8,0,126,0,2,28
enBit,13.451541950113345,0,808,0,0,2,9,126,126,5,a,1,0,0,2,0,{},{},{},{},31,8,0,126,0,2,31
enBit,13.451632653061191,0,808,0,0,2,2,126,126,5,a,0,0,0,2,0,{},{},{},{},31,8,0,126,0,2,0
enBit,13.45204081632649,0,808,0,0,2,2,126,126,5,a,1,0,0,2,0,{},{},{},{},31,112,1,126,0,2,31
enBit,13.452086167800411,0,808,0,0,2,2,126,126,5,a,0,0,0,2,0,{},{},{},{},31,112,1,126,0,2,0
enBit,13.45249433106571,0,808,0,0,2,2,126,126,5,a,1,0,0,2,0,{},{},{},{},31,112,1,126,0,2,31
enBit,13.452539682539632,0,808,0,0,2,2,126,126,5,a,0,0,0,2,0,{},{},{},{},31,112,1,126,0,2,0
enBit,13.45294784580493,0,808,0,0,2,2,126,126,5,a,1,0,0,2,0,{},{},{},{},31,112,1,126,0,2,31
enBit,13.452993197278852,0,808,0,0,2,2,126,126,5,a,0,0,0,2,0,{},{},{},{},31,112,1,126,0,2,0
enBit,13.45340136054415,0,808,4,0,2,2,126,126,5,a,1,0,0,2,0,{},{},{},{},31,112,1,126,0,2,31
f1Ctrl,13.528526077097437,0,812,5,4,2,2,132,126,5,a,1,0,0,2,0,{},{},{},{},31,112,1,132,0,2,31
f1Ctrl,13.613242630385416,0,817,5,5,2,2,140,132,5,g+,1,1,0,1,0,{},{},{},{},31,112,1,140,0,2,31
f1Ctrl,13.694897959183601,0,822,5,5,2,2,148,140,5,g,1,1,0,1,0,{},{},{},{},31,112,1,148,0,2,31
f1Ctrl,13.779433106575889,0,827,5,5,2,2,158,148,5,f+,1,1,0,1,0,{},{},{},{},31,112,1,158,0,2,31
f1Ctrl,13.860770975056612,0,832,5,5,2,2,168,158,5,f,1,1,0,1,0,{},{},{},{},31,112,1,168,0,2,31
f1Ctrl,13.945215419501054,0,837,5,5,2,2,178,168,5,e,1,1,0,1,0,{},{},{},{},31,112,1,178,0,2,31
f1Ctrl,14.027346938775429,0,842,5,5,2,2,188,178,5,d+,1,1,0,1,0,{},{},{},{},31,112,1,188,0,2,31
f1Ctrl,14.111678004535065,0,847,5,5,2,2,200,188,5,d,1,1,0,1,0,{},{},{},{},31,112,1,200,0,2,31
f1Ctrl,14.19419501133778,0,852,5,5,2,2,212,200,5,c+,1,1,0,1,-1,{},{},{},{},31,112,1,212,0,2,31
f1Ctrl,14.278049886621224,0,857,5,5,2,2,224,212,5,c,1,1,0,1,-1,{},{},{},{},31,112,1,224,0,2,31
f1Ctrl,14.360725623582667,0,862,5,5,2,2,236,224,4,b,1,1,0,1,0,{},{},{},{},31,112,1,236,0,2,31
f1Ctrl,14.444671201813957,0,867,5,5,2,2,252,236,4,a+,1,1,0,1,0,{},{},{},{},31,112,1,252,0,2,31
f2Ctrl,14.5273469387754,0,872,5,5,2,2,264,252,4,a,1,1,0,1,0,{},{},{},{},31,112,1,8,1,2,31
f1Ctrl,14.61122448979581,0,877,5,5,2,2,280,264,4,g+,1,1,0,1,0,{},{},{},{},31,112,1,24,1,2,31
f1Ctrl,14.693696145124601,0,882,5,5,2,2,296,280,4,g,1,1,0,1,-1,{},{},{},{},31,112,1,40,1,2,31
f1Ctrl,14.782698412698291,0,887,0,5,8,2,448,296,4,f+,1,1,0,1,0,{},{},{},{},31,112,1,192,1,8,31
enBit,14.782698412698291,0,887,0,0,8,2,448,448,3,b,0,1,0,2,0,{},{},{},{},31,112,1,192,1,8,0
