#type,time,ch,ticks,l,fL,v,fV,f,fF,o,scale,en,fEn,vDiff,vCnt,oDiff,envlp,envlpIndex,nE,nF,offset,data,wtbIndex,fCtrlA,fCtrlB,wNCtrl,vVCtrl,aVCtrl,envPCtrlL,envPCtrlM,envShape,ioParallel1,ioParallel2,vDiff,oDiff,cnt
fCA,0.0,0,0,0,,0,,0,0,1,r,0,0,0,0,0,,,,,,,,0,0,0,187,0,11,0,0,0,0,0,0,1
fCB,0.0,0,0,0,,0,,0,0,1,r,0,0,0,0,0,,,,,,,,0,0,0,187,0,11,0,0,0,0,0,0,2
aVC,4.5351473922902495e-05,0,0,0,,0,,0,0,1,r,0,0,0,1,0,,,,,,,,0,0,0,187,0,11,0,0,0,0,0,0,3
ePL,0.0003854875283446712,0,0,0,,0,,0,0,1,r,0,0,0,1,0,,,,,,,,0,0,0,187,0,0,0,0,0,0,0,0,4
evM,0.0004308390022675737,0,0,0,,0,,0,0,1,r,0,0,0,1,0,,,,,,,,0,0,0,187,0,0,3,0,0,0,0,0,5
evS,0.00047619047619047614,0,0,0,,0,,0,0,1,r,0,0,0,1,0,,,,,,,,0,0,0,187,0,0,3,9,0,0,0,0,6
fCB,0.012063492063492066,0,0,0,,0,,0,0,1,r,0,0,0,1,0,,,,,,,,0,0,0,185,0,0,3,9,0,0,0,0,7
aVC,0.012108843537414968,0,0,8,,0,,0,0,1,r,0,0,0,2,0,,,,,,,,0,0,0,185,0,0,3,9,0,0,8,0,1
wNC,0.12945578231292512,0,8,8,,0,,0,0,1,r,0,0,0,2,0,,,,,,,,0,0,0,187,0,0,3,9,0,0,0,0,2
ePL,0.26317460317460317,0,16,0,,0,,0,0,1,r,0,0,0,2,0,,,,,,,,0,0,0,191,0,66,3,9,0,0,-8,0,1
evM,0.2632199546485261,0,16,0,,0,,0,0,1,r,0,0,0,2,0,,,,,,,,0,0,0,191,0,66,0,9,0,0,0,0,2
evS,0.263265306122449,0,16,1,,0,,0,0,1,r,0,0,0,2,0,,,,,,,,0,0,0,191,0,66,0,10,0,0,1,0,1
wNC,0.2792290249433107,0,17,7,,0,,0,0,1,r,0,0,0,2,0,,,,,,,,0,0,8,185,0,66,0,10,0,0,6,0,1
wNC,0.3960090702947846,0,24,8,,0,,0,0,1,r,0,0,0,2,0,,,,,,,,0,0,0,171,0,66,0,10,0,0,1,0,1
ePL,0.5300226757369617,0,32,0,,0,,0,0,1,r,0,0,0,2,0,,,,,,,,0,0,0,191,0,0,0,10,0,0,-8,0,1
evM,0.5300680272108846,0,32,0,,0,,0,0,1,r,0,0,0,2,0,,,,,,,,0,0,0,191,0,0,3,10,0,0,0,0,2
evS,0.5301133786848076,0,32,8,,0,,0,0,1,r,0,0,0,2,0,,,,,,,,0,0,0,191,0,0,3,9,0,0,8,0,1
evS,0.6629705215419506,0,40,8,,0,,0,0,1,r,0,0,0,2,0,,,,,,,,0,0,0,187,0,0,3,9,0,0,0,0,2
ePL,0.7964625850340143,0,48,0,,0,,0,0,1,r,0,0,0,2,0,,,,,,,,0,0,0,187,0,66,3,9,0,0,-8,0,1
evM,0.7965079365079373,0,48,0,,0,,0,0,1,r,0,0,0,2,0,,,,,,,,0,0,0,187,0,66,0,9,0,0,0,0,2
evS,0.7965532879818602,0,48,1,,0,,0,0,1,r,0,0,0,2,0,,,,,,,,0,0,0,187,0,66,0,10,0,0,1,0,1
wNC,0.8125396825396833,0,49,7,,0,,0,0,1,r,0,0,0,2,0,,,,,,,,0,0,8,185,0,66,0,10,0,0,6,0,1
