type,time,ch,ticks,l,fL,v,fV,f,fF,o,scale,en,fEn,vDiff,vCnt,oDiff,envlp,envlpIndex,nE,nF,offset,data,wtbIndex,f1Ctrl,f2Ctrl,vCtrl,enCtrl
f1Ctrl,0.0,1,0,0,0,0,0,64,0,1,r,0,0,0,0,1,{},{},{},{},0,0,0,64,0,0,0
f2Ctrl,6.802721088435383e-05,1,0,0,0,0,0,1344,64,6,a,0,0,11,1,-4,{},{},{},{},0,0,0,64,5,0,0
vCtrl,0.0004535147392290249,1,0,0,{},11,{},1344,1344,2,e,0,0,0,2,0,{},{},{},{},0,0,0,64,5,11,0
enBit,0.000702947845804989,1,0,0,0,11,0,1344,1344,2,e,1,0,0,2,0,{},{},{},{},0,0,0,64,5,11,30
enBit,0.0007936507936507941,1,0,0,0,11,11,1344,1344,2,e,0,0,0,2,0,{},{},{},{},0,0,0,64,5,11,0
wtbNew,0.0007936507936507941,1,0,0,{},11,{},1344,1344,2,e,0,0,0,2,0,{},{},{},{},0,0,0,64,5,11,0
wtbLast,0.0008163265306122454,1,0,0,{},11,{},1344,1344,2,e,0,0,0,2,0,{},{},{},{},1,64,0,64,5,11,0
wtbLast,0.0008163265306122454,1,0,0,{},11,{},1344,1344,2,e,0,0,0,2,0,{},{},{},{},2,127,0,64,5,11,0
wtbLast,0.0008390022675736966,1,0,0,{},11,{},1344,1344,2,e,0,0,0,2,0,{},{},{},{},3,64,0,64,5,11,0
wtbLast,0.0008390022675736966,1,0,0,{},11,{},1344,1344,2,e,0,0,0,2,0,{},{},{},{},4,1,0,64,5,11,0
wtbLast,0.0008616780045351479,1,0,0,{},11,{},1344,1344,2,e,0,0,0,2,0,{},{},{},{},5,192,0,64,5,11,0
wtbLast,0.0008843537414965992,1,0,0,{},11,{},1344,1344,2,e,0,0,0,2,0,{},{},{},{},6,129,0,64,5,11,0
wtbLast,0.0008843537414965992,1,0,0,{},11,{},1344,1344,2,e,0,0,0,2,0,{},{},{},{},7,192,0,64,5,11,0
wtbLast,0.0009070294784580505,1,0,0,{},11,{},1344,1344,2,e,0,0,0,2,0,{},{},{},{},8,1,0,64,5,11,0
wtbLast,0.0009070294784580505,1,0,0,{},11,{},1344,1344,2,e,0,0,0,2,0,{},{},{},{},9,64,0,64,5,11,0
wtbLast,0.0009297052154195018,1,0,0,{},11,{},1344,1344,2,e,0,0,0,2,0,{},{},{},{},10,127,0,64,5,11,0
wtbLast,0.0009297052154195018,1,0,0,{},11,{},1344,1344,2,e,0,0,0,2,0,{},{},{},{},11,64,0,64,5,11,0
wtbLast,0.000952380952380953,1,0,0,{},11,{},1344,1344,2,e,0,0,0,2,0,{},{},{},{},12,1,0,64,5,11,0
wtbLast,0.000952380952380953,1,0,0,{},11,{},1344,1344,2,e,0,0,0,2,0,{},{},{},{},13,192,0,64,5,11,0
wtbLast,0.0009750566893424043,1,0,0,{},11,{},1344,1344,2,e,0,0,0,2,0,{},{},{},{},14,1,0,64,5,11,0
wtbLast,0.0009750566893424043,1,0,0,{},11,{},1344,1344,2,e,0,0,0,2,0,{},{},{},{},15,64,0,64,5,11,0
wtbLast,0.0009977324263038556,1,0,0,{},11,{},1344,1344,2,e,0,0,0,2,0,{},{},{},{},16,1,0,64,5,11,0
wtbLast,0.0009977324263038556,1,0,0,{},11,{},1344,1344,2,e,0,0,0,2,0,{},{},{},{},17,224,0,64,5,11,0
wtbLast,0.0010204081632653069,1,0,0,{},11,{},1344,1344,2,e,0,0,0,2,0,{},{},{},{},18,1,0,64,5,11,0
wtbLast,0.0010430839002267581,1,0,0,{},11,{},1344,1344,2,e,0,0,0,2,0,{},{},{},{},19,32,0,64,5,11,0
wtbLast,0.0010430839002267581,1,0,0,{},11,{},1344,1344,2,e,0,0,0,2,0,{},{},{},{},20,1,0,64,5,11,0
wtbLast,0.0010657596371882094,1,0,0,{},11,{},1344,1344,2,e,0,0,0,2,0,{},{},{},{},21,240,0,64,5,11,0
wtbLast,0.0010657596371882094,1,0,0,{},11,{},1344,1344,2,e,0,0,0,2,0,{},{},{},{},22,1,0,64,5,11,0
wtbLast,0.0010884353741496607,1,0,0,{},11,{},1344,1344,2,e,0,0,0,2,0,{},{},{},{},23,16,0,64,5,11,0
wtbLast,0.0010884353741496607,1,0,0,{},11,{},1344,1344,2,e,0,0,0,2,0,{},{},{},{},24,1,0,64,5,11,0
wtbLast,0.001111111111111112,1,0,0,{},11,{},1344,1344,2,e,0,0,0,2,0,{},{},{},{},25,255,0,64,5,11,0
wtbLast,0.001111111111111112,1,0,0,{},11,{},1344,1344,2,e,0,0,0,2,0,{},{},{},{},26,255,0,64,5,11,0
wtbLast,0.0011337868480725633,1,0,0,{},11,{},1344,1344,2,e,0,0,0,2,0,{},{},{},{},27,255,0,64,5,11,0
wtbLast,0.0011337868480725633,1,0,0,{},11,{},1344,1344,2,e,0,0,0,2,0,{},{},{},{},28,255,0,64,5,11,0
wtbLast,0.0011564625850340145,1,0,0,{},11,{},1344,1344,2,e,0,0,0,2,0,{},{},{},{},29,64,0,64,5,11,0
wtbLast,0.0011791383219954658,1,0,0,{},11,{},1344,1344,2,e,0,0,0,2,0,{},{},{},{},30,64,0,64,5,11,0
wtbLast,0.0011791383219954658,1,0,0,{},11,{},1344,1344,2,e,0,0,0,2,0,{},{},{},{},31,64,0,64,5,11,0
enBit,0.001201814058956917,1,0,0,0,11,11,1344,1344,2,e,1,0,0,2,0,{},{},{},{},31,64,0,64,5,11,30
enBit,0.0012471655328798196,1,0,0,0,11,11,1344,1344,2,e,0,0,0,2,0,{},{},{},{},31,64,0,64,5,11,0
